ID, File,((<.+=("|'|`))(.*courses\.byui\.edu.*("|'|`)).+>)|(courses\.byui\.edu),((<.+=("|'|`))(.*stream\.byui\.edu.*("|'|`)).+>)|(stream\.byui\.edu),((<.+=("|'|`))(.*brightcove.*("|'|`)).+>)|(brightcove),
19325,L06 Companionship Study - Directions.html,0,0,9,
19335,Orientation to Online Learning.html,3,0,0,
19492,13.03 Film Casablanca - Instructions.html,0,1,0,
19492,Groups.html,1,0,0,
19492,References.html,0,4,0,
19493,Video 12.3 Learning about Descendancy Research.html,0,0,1,
19497,Online Community.html,1,0,0,
19497,Weekly Reflections.html,1,0,0,
19503,Weekly Reflection.html,1,0,0,
19547,L01 A1 The Process of Adjustment - Instructions.html,1,0,0,
19547,L17 A3 Textbook Marking - Instructions.html,1,0,0,
19547,L22 A2 Exploration Taxonomy - Instructions.html,2,0,0,
19547,L9 A2 Learning Model Quiz - Instructions.html,1,0,0,
19548,Orientation to Online Learning.html,3,0,0,
19555,Orientation to Online Learning.html,3,0,0,
19564,L10 4.1 VideoAssignment.html,1,0,0,
19564,L12 Voicethread.html,9,0,0,
19564,L13 Voicethread.html,9,0,0,
19690,Teaching Groups.html,1,0,0,
19722,L01 Orientation to Online Learning at BYU-Idaho.html,3,0,0,
23801,L01.01 Orientation to Online Learning at BYU-Idaho.html,3,0,0,
28228,L07 Lesson Preview.html,1,0,0,
28228,L08 Lesson Preview.html,1,0,0,
28228,L09 Lesson Preview.html,1,0,0,
28228,L10 Lesson Preview.html,1,0,0,
28228,L11 Preview.html,1,0,0,
28228,L12 Lesson Preview.html,1,0,0,
28228,L13 Lesson Preview.html,1,0,0,
28228,L14 Digging Deeper.html,1,0,0,
28228,L14 Lesson Preview.html,1,0,0,
28228,Understanding FDREL 121.html,1,0,0,
28754,L03 Self Study Exercises Awkward Sentences.html,1,0,0,
28754,L04 Self Study Exercises Capitalization.html,1,0,0,
28754,Self Study Exercises Comma Rules Lesson 1.html,1,0,0,
28754,Self Study Exercises Comma Rules Lesson 2.html,1,0,0,
28754,Self Study Exercises Confused Words.html,1,0,0,
28754,Self Study Exercises Fragments.html,1,0,0,
28754,Self Study Exercises Improving Style.html,1,0,0,
28754,Self Study Exercises Parallel Structure.html,1,0,0,
28754,Self Study Exercises Pronouns.html,1,0,0,
28754,Self Study Exercises Run-ons.html,1,0,0,
28754,Self Study Exercises Shifts in Time.html,1,0,0,
28754,Self Study Exercises Wordy Sentences.html,1,0,0,
31319,Orientation to Online Learning.html,3,0,0,
32027,L01 Orientation to Online Learning.html,3,0,0,
32027,Orientation to Online Learning.html,3,0,0,
40664,Groups.html,1,0,0,
40664,Orientation to Online Learning.html,2,0,0,
50273,Orientation to Online Learning at BYU-Idaho.html,1,0,0,
50275,Activity Directions123719.html,0,1,0,
50275,Activity Directions580357.html,0,1,0,
50275,Activity Directions659742.html,0,1,0,
50275,L02.13 Presentation on Renaissance Art.html,1,0,0,
50275,Orientation to Online Learning at BYU-Idaho19183.html,4,0,0,
50275,Presentation on Baroque Worldview.html,1,0,0,
50275,Presentation on Baroque Worldview201546.html,1,0,0,
50275,Presentation On Classical Art.html,1,0,0,
50275,Presentation on Neo-Imperialism in Iran.html,1,0,0,
50275,Presentation on Neo-Imperialism in Iran516057.html,1,0,0,
50275,Presentation on Renaissance Art675882.html,1,0,0,
50275,Presentation on the Baptists  Methodists  and a Short History of Religion in America.html,1,0,0,
50275,Presentation on the Cold War.html,1,0,0,
50275,Presentation on the Romantic Worldview and Art.html,1,0,0,
50275,Presentation on the Romantic Worldview and Art5090.html,1,0,0,
50278,Lesson Introduction.html,0,2,0,
50278,Lesson Introduction207815.html,0,1,0,
50278,Lesson Introduction316.html,0,1,0,
50278,Lesson Introduction354588.html,0,1,0,
50278,Lesson Introduction423137.html,0,2,0,
50279,W01.03 Discussion Board Icebreaker.html,0,1,0,
50281,Act For Self.html,0,0,1,
50281,Faith.html,0,0,1,
50281,Gateway Seminar Learning Model Principles (Part 2).html,0,0,4,
50281,Holy Ghost.html,0,0,1,
50281,Introduction.html,0,0,1,
50281,Word of God.html,0,0,1,
50282,IL Introduce Yourself.html,0,1,0,
50282,The Resume.html,0,0,1,
50282,Writing Resumes and Cover Letters.html,0,0,1,
50290,Alpha.html,1,0,0,
52555,Videos.html,0,0,6,
57167,Introduction to FDREL 122.html,1,0,0,
57167,L02 Lesson Preview.html,1,0,0,
57167,L03 Lesson Preview.html,1,0,0,
57167,L04 Lesson Preview.html,1,0,0,
57167,L05 Lesson Preview.html,1,0,0,
57167,L06 Lesson Preview.html,1,0,0,
57167,L07 Lesson Preview.html,1,0,0,
57167,L08 Lesson Preview.html,1,0,0,
57167,L09 Lesson Preview.html,1,0,0,
57167,L10 Lesson Preview.html,1,0,0,
57167,L11 Lesson Preview.html,1,0,0,
57167,L12 Lesson Preview.html,1,0,0,
57167,L12 Preview.html,1,0,0,
57167,L14 Lesson Preview.html,1,0,0,
58369,Lab Manual .html,1,0,0,
58369,Module 2  Cardiovascular Anatomy Overview.html,1,0,0,
58372,Orientation to Online Learning at BYU-Idaho.html,2,0,0,
58372,Setup for Course Instructor.html,0,1,0,
59655,L01.03 Ice Breaker Activity - Instructions.html,0,1,0,
59656,Course Documents.html,0,3,0,
